Date,ADS_Index
1962:08:03,0.320114
1962:08:04,0.304187
1962:08:05,0.289319
1962:08:06,0.275507
1962:08:07,0.262745
1962:08:08,0.251031
1962:08:09,0.240359
1962:08:10,0.230728
1962:08:11,0.222133
1962:08:12,0.214572
1962:08:13,0.208043
1962:08:14,0.202544
1962:08:15,0.198073
1962:08:16,0.194628
1962:08:17,0.192209
1962:08:18,0.190815
1962:08:19,0.190445
1962:08:20,0.191099
1962:08:21,0.192777
1962:08:22,0.195481
1962:08:23,0.19921
1962:08:24,0.203966
1962:08:25,0.20975
1962:08:26,0.216565
1962:08:27,0.224412
1962:08:28,0.233294
1962:08:29,0.243213
1962:08:30,0.254173
1962:08:31,0.266178
1962:09:01,0.27923
1962:09:02,0.291156
1962:09:03,0.301958
1962:09:04,0.311641
1962:09:05,0.320206
1962:09:06,0.327658
1962:09:07,0.333998
1962:09:08,0.339228
1962:09:09,0.34335
1962:09:10,0.346365
1962:09:11,0.348275
1962:09:12,0.349079
1962:09:13,0.348778
1962:09:14,0.347373
1962:09:15,0.344861
1962:09:16,0.341243
1962:09:17,0.336518
1962:09:18,0.330684
1962:09:19,0.323739
1962:09:20,0.315681
1962:09:21,0.306508
1962:09:22,0.296216
1962:09:23,0.284803
1962:09:24,0.272265
1962:09:25,0.258597
1962:09:26,0.243796
1962:09:27,0.227857
1962:09:28,0.210775
1962:09:29,0.192544
1962:09:30,0.173159
1962:10:01,0.152614
1962:10:02,0.132863
1962:10:03,0.1139
1962:10:04,0.0957195
1962:10:05,0.0783152
1962:10:06,0.0616817
1962:10:07,0.045814
1962:10:08,0.030707
1962:10:09,0.0163559
1962:10:10,0.00275622
1962:10:11,-0.0100963
1962:10:12,-0.0222056
1962:10:13,-0.0335756
1962:10:14,-0.0442099
1962:10:15,-0.0541118
1962:10:16,-0.0632843
1962:10:17,-0.0717305
1962:10:18,-0.0794529
1962:10:19,-0.0864539
1962:10:20,-0.0927358
1962:10:21,-0.0983006
1962:10:22,-0.10315
1962:10:23,-0.107285
1962:10:24,-0.110708
1962:10:25,-0.11342
1962:10:26,-0.11542
1962:10:27,-0.116711
1962:10:28,-0.117292
1962:10:29,-0.117164
1962:10:30,-0.116326
1962:10:31,-0.114778
1962:11:01,-0.11252
1962:11:02,-0.11069
1962:11:03,-0.109288
1962:11:04,-0.108312
1962:11:05,-0.107763
1962:11:06,-0.107641
1962:11:07,-0.107945
1962:11:08,-0.108676
1962:11:09,-0.109834
1962:11:10,-0.111419
1962:11:11,-0.113431
1962:11:12,-0.115872
1962:11:13,-0.118741
1962:11:14,-0.122041
1962:11:15,-0.125772
1962:11:16,-0.129935
1962:11:17,-0.134531
1962:11:18,-0.139562
1962:11:19,-0.14503
1962:11:20,-0.150936
1962:11:21,-0.157282
